source,event_id,event_name,event_date,artist_id,artist_name,genre,venue_id,venue_name,venue_capacity,address,city,state,country,latitude,longitude,market,dma_code,ticket_demand_score,airplay_spins
ticketmaster_csv,EVT-00000001,"  the midnight echo live at summit hall  ",2026-02-11,ART-001,"The Midnight Echo",alt rock,VEN-001,Summit Hall,5200,100 Main St,Denver,Colorado,USA,39.7392,-104.9903,"Denver, CO",751,91.2,3000
musicbrainz_api,EVT-00000002,"THE MIDNIGHT ECHO LIVE AT SUMMIT HALL",02/11/2026,MB-8891," the midnight echo ",Alternative Rock,VEN-001,SUMMIT HALL,,100 Main St,denver,CO,US,39.7392,-104.9903,Denver,751,87.5,2911
venue_partner_feed,EVT-00000003,"DJ Meridian Live at Harbor Stage",not a date,ART-004,DJ Meridian,EDM,VEN-003,Harbor Stage,8500,240 Pier Ave,Seattle,WA,US,47.6062,-122.3321,"Seattle, WA",819,79.0,1400
airplay_mock,EVT-00000004,"Ava Stone Live at Mission Ballroom",2026-04-19,ART-006,Ava Stone,r&b,VEN-009,Mission Ballroom,3900,900 Valencia St,San Francisco,California,United States,37.7749,-122.4194,"San Francisco, CA",807,82.1,4100
ticketmaster_csv,EVT-00000005,"Ava Stone Live at Mission Ballroom","Apr 19, 2026",MB-1006,"AVA STONE",Rhythm and Blues,VEN-009-ALT," mission ballroom ",3900,900 Valencia St,"San Francisco",CA,USA,999,-122.4194,"San Francisco",807,80.4,3991
venue_partner_feed,EVT-00000006,"Blue Canyon Live at Desert Star Arena",2026-05-20,ART-007,Blue Canyon,Rock,VEN-005,Desert Star Arena,-1,21 Desert Rd,Phoenix,Arizona,US,33.4484,-112.074,"Phoenix, AZ",753,73.0,1202
ticketmaster_csv,EVT-00000007,"Luna Park Live at Brooklyn Yard",2026-05-21,ART-008,Luna Park,Indie,VEN-010,Brooklyn Yard,6700,88 Franklin Ave,New York,New York,US,40.7128,-74.006,"New York, NY",501,69.3,990
ticketmaster_csv,EVT-00000007,"Luna Park Live at Brooklyn Yard",2026-05-21,ART-008,LUNA PARK,Indie Rock,VEN-010,Brooklyn Yard,6700,88 Franklin Ave,New York,NY,US,40.7128,-74.006,"New York",501,68.4,1002
musicbrainz_api,EVT-00000008,"Northbound Hearts Live at Wasatch Field",13/40/2026,ART-003,Northbound Hearts,Country Music,VEN-008,Wasatch Field,22000,45 State St,Salt Lake City,utah,US,40.7608,-111.891,"Salt Lake City, UT",770,85.0,777
airplay_mock,EVT-00000009,"Sofia Reyes Live at Liberty Pavilion",2026-07-01,ART-002,Sofia Reyes,Pop,VEN-006,Liberty Pavilion,9500,19 Liberty Blvd,Philadelphia,bad-state,US,39.9526,-75.1652,Philadelphia,504,88.0,3201
